feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target_growth
31.157,66.601,53.857,7.658,10.311,1.049,1.077,146.42
25.461,85.733,40.231,7.301,11.411,0.416,2.482,143.52
32.596,67.989,60.481,6.885,4.187,1.763,1.883,146.809
29.855,60.978,69.098,5.458,7.297,2.362,1.844,151.784
19.601,73.817,57.316,5.219,5.633,0.565,2.608,142.287
34.586,69.576,36.652,6.844,11.974,2.168,0.665,142.362
30.939,50.581,52.205,6.501,11.437,1.923,1.126,134.277
31.363,62.673,62.797,5.714,10.417,1.55,0.844,149.323
20.178,59.1,71.968,5.878,6.367,0.516,0.948,139.028
25.657,83.108,32.83,6.176,11.617,2.617,3.017,139.574
24.304,62.048,31.375,6.487,4.234,1.546,4.484,117.925
33.755,81.97,45.647,6.171,5.504,1.359,3.0,152.779
28.946,64.908,31.281,6.162,8.935,2.468,4.434,134.239
31.987,78.908,74.021,5.347,10.344,2.429,2.681,172.034
25.538,51.088,46.215,7.597,11.069,2.145,1.418,128.43
21.863,86.609,51.681,6.827,6.404,2.39,3.951,152.556
27.428,66.625,36.354,5.438,7.126,0.698,0.489,122.774
19.085,56.691,47.456,6.272,7.639,2.226,0.64,118.719
32.07,55.867,74.235,6.25,4.216,1.187,4.275,153.955
28.738,56.928,49.434,6.802,10.912,2.482,2.996,143.233
30.887,61.503,25.441,6.827,6.704,1.289,4.195,120.423
24.027,77.288,37.126,6.936,5.594,0.53,0.771,126.246
34.502,87.732,73.923,7.094,7.274,1.395,3.504,179.818
33.183,75.107,74.453,5.31,9.685,2.216,1.21,167.487
31.233,69.622,35.525,5.915,10.967,1.602,1.676,134.818
21.309,65.187,55.763,5.052,5.723,2.233,4.066,138.908
25.934,82.269,28.845,6.364,5.381,0.485,1.968,125.779
18.745,83.235,53.872,6.288,11.55,0.825,3.083,140.808
20.623,58.187,31.296,7.203,8.407,1.753,4.015,115.779
29.612,87.904,65.933,5.501,6.926,1.325,3.945,167.404
30.661,62.78,71.979,6.894,5.595,2.032,0.238,151.527
34.448,81.004,33.649,5.92,11.962,2.71,0.88,143.807
23.539,88.507,48.136,6.146,9.753,1.984,4.15,154.457
24.298,76.665,30.102,7.158,5.743,1.402,2.618,124.901
25.982,52.27,41.957,5.215,4.73,1.702,2.265,120.124
21.221,71.376,28.255,6.028,5.594,2.591,0.481,118.855
20.209,50.345,38.227,6.174,5.982,2.015,0.308,107.582
26.087,80.511,74.511,7.147,4.889,2.328,4.3,166.82
21.857,57.659,27.23,5.598,5.837,1.124,2.238,106.783
29.387,76.285,67.948,7.842,4.934,2.186,3.582,161.99
25.432,85.954,28.873,7.993,7.022,0.735,1.146,127.178
32.156,53.145,51.45,7.457,7.89,2.199,1.219,140.082
29.905,62.679,47.606,5.899,7.642,2.516,2.609,139.469
23.31,74.12,71.578,6.992,10.634,2.561,3.967,162.681
32.148,63.885,34.952,5.249,6.032,0.68,1.441,119.939
31.681,52.867,33.984,7.614,11.097,2.392,1.614,123.935
24.587,46.308,62.436,6.548,11.265,0.664,2.568,132.844
22.902,63.297,61.286,5.529,11.678,1.548,0.372,142.201
29.602,74.214,59.959,5.982,5.448,2.038,1.829,146.507
20.376,70.829,26.306,7.402,5.966,1.562,2.592,114.632
21.398,52.031,37.998,7.611,8.991,1.216,0.221,111.653
18.125,65.281,66.995,6.559,5.127,2.041,2.943,141.77
31.378,61.626,55.043,6.441,4.685,1.986,0.419,138.145
29.302,57.339,55.11,7.252,4.59,1.799,3.296,137.354
29.988,77.817,39.796,7.479,8.849,1.668,3.647,147.9
31.272,58.934,38.009,7.295,10.437,2.094,3.807,131.408
25.802,69.306,72.328,6.153,6.071,1.367,3.096,153.795
27.669,86.545,61.388,6.926,11.468,0.565,2.615,160.419
20.377,69.267,31.343,7.572,10.335,1.69,1.523,120.509
19.947,72.766,71.885,5.455,4.62,2.136,2.026,147.544
29.363,48.296,54.119,6.164,7.258,1.118,0.574,130.357
26.009,53.016,41.668,5.17,4.544,0.738,3.241,117.402
27.609,49.543,44.857,6.227,11.322,2.588,0.306,127.648
31.005,79.417,61.27,7.317,9.942,2.473,1.978,167.153
28.79,82.616,43.814,5.591,9.492,1.884,2.377,145.781
27.411,53.39,53.937,6.626,9.462,2.288,2.995,135.313
27.507,54.867,60.525,5.11,6.281,2.725,1.676,141.29
23.167,59.544,34.769,7.693,11.468,1.766,2.104,122.544
18.524,71.598,72.212,7.46,11.382,0.986,2.726,156.963
25.424,72.981,42.809,6.573,9.916,1.933,4.17,142.959
21.648,75.904,45.969,7.117,7.751,2.595,3.089,141.91
24.945,85.734,59.926,5.312,4.377,2.056,1.294,154.859
32.508,58.277,55.439,7.536,4.226,0.463,3.843,143.094
21.977,74.644,47.006,7.146,5.105,2.601,0.437,134.468
18.991,70.188,57.487,5.36,8.766,2.209,1.371,141.217
22.784,58.763,70.141,7.942,10.385,1.364,0.665,146.064
22.991,85.834,65.014,5.068,11.588,2.77,2.122,167.02
29.253,49.297,66.213,6.886,5.403,2.132,2.939,139.265
27.47,77.04,37.92,5.515,6.204,2.381,2.483,131.738
31.326,77.754,45.97,7.158,4.433,2.664,3.688,149.106
29.293,86.19,52.691,5.211,11.912,0.495,2.64,155.744
24.909,68.336,27.21,5.243,10.247,2.259,1.2,118.074
31.838,59.473,63.49,6.399,7.846,1.327,2.507,151.755
20.839,82.248,41.173,7.982,8.605,2.486,3.363,143.395
18.386,79.686,39.13,5.83,8.497,2.509,2.363,132.033
19.531,67.514,37.965,6.838,6.035,2.389,2.1,114.784
30.28,79.554,39.169,6.556,5.483,2.27,2.475,142.377
25.852,57.054,41.901,7.526,6.376,2.306,2.557,126.677
20.742,71.528,55.241,5.866,5.977,1.112,1.535,138.366
26.518,83.933,54.178,6.665,8.46,1.376,3.873,156.939
20.589,59.309,37.786,7.852,6.466,0.676,1.093,114.501
29.837,66.76,35.321,5.998,9.832,2.393,0.341,128.989
25.585,87.797,66.318,6.318,8.544,1.95,3.388,164.711
24.477,80.92,29.636,7.666,8.258,1.871,3.822,131.494
23.126,84.917,50.641,5.997,11.61,0.991,2.964,152.266
28.715,62.336,51.028,6.142,6.579,1.876,2.216,137.817
24.151,89.843,53.707,5.912,9.082,1.491,4.393,160.207
19.49,51.865,69.283,7.429,4.0,2.789,1.794,131.692
20.006,68.345,56.196,7.791,9.895,2.471,1.945,137.836
34.352,66.567,73.682,6.893,8.02,1.662,2.742,164.208
33.446,80.929,68.568,6.871,5.667,2.34,2.051,165.811
29.895,85.888,35.737,6.17,4.012,0.795,2.588,139.354
22.52,77.901,37.059,5.037,9.656,0.643,4.356,130.576
34.476,73.207,42.239,5.522,9.302,1.914,1.221,146.722
31.239,64.234,44.576,5.442,9.323,2.144,0.839,134.265
30.187,67.965,52.65,5.348,7.5,0.527,2.021,145.765
25.639,67.919,36.626,6.962,9.114,0.882,2.367,129.449
22.628,45.917,36.117,5.409,8.571,1.689,3.267,107.68
19.639,67.637,44.069,5.257,5.911,0.551,4.307,131.496
33.344,83.519,58.601,6.148,8.15,1.418,3.161,164.503
25.748,76.917,59.406,5.747,8.117,1.557,4.445,154.778
21.44,80.807,73.806,5.438,10.589,2.612,1.259,164.578
23.201,62.572,35.121,5.438,7.468,1.158,1.098,118.757
27.847,68.804,44.643,5.769,7.489,0.805,1.518,135.25
21.005,46.507,73.234,6.611,11.875,0.418,3.585,139.066
